year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1994,ARG,160,Argentina,1,7,5,5,11.43906572,275000000000,7.536592175,34402672,0,18.13434587,0.425199986,3,3,Argentina,Argentina,0,1
1994,AUS,900,Australia,0,10,6,8,11.82152728,663000000000,7.251759855,17855000,0,36.52612843,0.983299971,2,0,Australia,Australia,0,1
1994,AUT,305,Austria,1,10,7,7,11.45158228,283000000000,6.899608117,7936118,0,65.98709334,0.976199985,1,1,Austria,Austria,0,1
1994,BEL,211,Belgium,0,10,8,8,11.53683358,344000000000,7.004991777,10115603,0,113.2322997,0.966700017,0,0,Belgium,Belgium,0,1
1994,BEN,434,Benin,1,6,6,8,9.546340592,3518362570,6.756956957,5714220,0,64.40047925,0.49180001,2,0,Benin,Benin,0,1
1994,BGD,771,Bangladesh,1,6,3,5,10.70204112,50354828680,8.052069105,112737683,0,22.86586455,0.503799975,5,3,Bangladesh,Bangladesh,0,0
1994,BGR,355,Bulgaria,1,8,4,3,10.49005597,30906937187,6.926527188,8443591,0,90.72012938,0.611400008,4,5,Bulgaria,Bulgaria,0,0
1994,BHR,692,Bahrain,1,-9,6,5,10.07495395,11883762234,5.74003329,549583,0,155.1781716,0.237200007,2,3,Bahrain,Bahrain,0,0
1994,BLR,370,Belarus (Byelorussia),0,7,7,7,10.37319074,23615151972,7.009748256,10227000,0,155.3757095,0.333700001,1,1,Belarus,Belarus,0,0
1994,BRA,140,Brazil,1,8,4,3,12.12225849,1330000000000,8.202577445,159432716,0,19.33290546,0.573000014,4,5,Brazil,Brazil,0,1
1994,CAN,20,Canada,0,10,7,8,11.99531967,989000000000,7.462407927,29000663,0,64.59258753,0.981299996,1,0,Canada,Canada,0,1
1994,CIV,437,Cote D<U+0092>Ivoire,1,-6,4,4,10.25133005,17837338328,7.137842355,13735433,0,69.83665802,0.263500005,4,4,Ivory Coast,Cote d'Ivoire,0,0
1994,CUB,40,Cuba,0,-7,3,3,10.48107272,30274202862,7.034967659,10838462,0,27.77589665,0.0394,5,5,Cuba,Cuba,0,0
1994,CZE,316,Czech Republic,0,10,6,8,11.1169131,131000000000,7.0142511,10333587,0,75.6995856,0.921000004,2,0,Czech Republic,Czech Rep.,0,1
1994,DEU,255,German Federal Republic,0,10,8,7,12.44686168,2800000000000,7.910828955,81438348,0,42.05788309,0.975199997,0,1,Germany,FRG/Germany,0,1
1994,DOM,42,Dominican Republic,1,5,2,5,10.37629617,23784617273,6.885570796,7683707,0,77.15790827,0.414999992,6,3,Dominican Republic,Dom. Rep.,0,0
1994,ECU,130,Ecuador,1,9,6,4,10.63395347,43048048229,7.049528161,11208001,0,43.7777475,0.528800011,2,4,Ecuador,Ecuador,0,0
1994,EGY,651,Egypt,1,-6,3,3,10.99468637,98783946377,7.786011384,61095804,0,50.62857143,0.370900005,5,5,Egypt,Egypt,0,0
1994,ESP,230,Spain,0,10,6,7,11.9626747,918000000000,7.597136693,39549108,0,41.64447874,0.933000028,2,1,Spain,Spain,1,1
1994,FRA,220,France,1,9,8,6,12.29619774,1980000000000,7.773253793,59327192,0,41.82623974,0.786000013,0,2,France,France,1,1
1994,GEO,372,Georgia,0,4,2,3,9.689318713,4890110951,6.684493117,4836076,0,166.9026155,0.351599991,6,5,Georgia,Georgia,1,0
1994,GHA,452,Ghana,0,-1,7,5,10.1544564,14271065399,7.219104232,16561674,0,62.02115274,0.301600009,1,3,Ghana,Ghana,0,0
1994,GRC,350,Greece,1,10,5,5,11.31378921,206000000000,7.021723442,10512922,0,36.16312189,0.779200017,3,3,Greece,Greece,1,0
1994,GTM,90,Guatemala,1,3,2,4,10.36856132,23364759975,7.007419032,10172297,0,42.3708927,0.330300003,6,4,Guatemala,Guatemala,0,0
1994,HUN,310,Hungary,0,10,8,7,10.95982264,91163845258,7.014661431,10343355,0,56.46018006,0.900200009,0,1,Hungary,Hungary,0,0
