cowcode,year,repress_index,repress_index_lagged,police,gdp_WDI_log10,polity2_P4,pop_WDI_log10,cameo_protests,lji_LS,trade_WDI,subpolice_IDC
100,1995,8,8,1,11.26464313,7,7.561357089,1,0.530300021,35.49723032,1
100,1996,8,8,1,11.27348047,7,7.569097407,31,0.529299974,36.04410719,1
100,1997,8,8,1,11.28812845,7,7.576615434,8,0.522400022,35.59706809,1
100,1998,8,8,1,11.29059549,7,7.58392738,5,0.515299976,35.90892305,1
100,1999,7,8,1,11.27194378,7,7.591058716,2,0.506600022,36.14927931,1
100,2000,8,7,1,11.28446457,7,7.598023722,17,0.492799997,32.66708547,1
100,2001,7,8,1,11.29169068,7,7.604830263,20,0.477600008,33.90111179,1
100,2002,6,7,1,11.30243051,7,7.611461591,0,0.46540001,32.98263921,1
100,2003,8,6,1,11.31912272,7,7.617879254,4,0.452800006,36.51618352,1
100,2004,8,8,1,11.34168771,7,7.624033982,18,0.442900002,35.86342693,1
100,2005,8,8,1,11.36166174,7,7.629895849,5,0.426499993,37.53595537,1
100,2006,8,8,1,11.39014878,7,7.635492764,21,0.412499994,39.74696047,1
100,2007,8,8,1,11.41891749,7,7.640854114,27,0.411300004,37.184368,1
100,2008,8,8,1,11.43283786,7,7.6459621,23,0.420899987,39.24449593,1
100,2009,7,8,1,11.43804052,7,7.650793564,6,0.442099988,35.1416989,1
100,2010,7,7,1,11.45652393,7,7.655356488,5,0.469799995,34.32010548,1
101,1994,7,7,1,11.42777976,8,7.331924052,0,0.479799986,51.444814,1
101,1995,7,7,1,11.44460995,8,7.341060098,6,0.472499996,47.34234294,1
101,1996,6,7,1,11.443751,8,7.349969709,20,0.466199994,55.97242779,1
101,1997,6,6,1,11.47057365,8,7.358653181,5,0.456999987,51.24503641,1
101,1998,5,6,1,11.47184889,8,7.36714271,4,0.446399987,43.59939293,1
101,1999,4,5,1,11.44511359,7,7.375477806,5,0.432900012,42.07023048,1
101,2000,4,4,1,11.46083773,7,7.38367978,2,0.418900013,47.85722155,1
101,2001,4,4,1,11.47533408,6,7.391754761,18,0.404700011,42.14126802,1
101,2002,4,4,1,11.43506359,6,7.399680781,69,0.388999999,48.57571065,1
101,2003,4,4,1,11.40000407,6,7.407418508,91,0.373600006,50.57700738,1
101,2004,6,4,1,11.47294066,6,7.414916452,104,0.363000005,55.3674556,1
101,2005,6,6,1,11.51558643,6,7.42213737,30,0.354999989,60.12732976,1
101,2006,6,6,1,11.55647377,5,7.428947428,26,0.347799987,58.66559156,1
101,2007,6,6,1,11.59291698,5,7.435328415,91,0.335399985,56.19909548,1
101,2008,5,6,1,11.61525441,5,7.441472544,14,0.324400008,51.82901238,1
101,2009,5,5,1,11.60111981,-3,7.447638731,45,0.312400013,38.52092966,1
101,2010,6,5,1,11.59460467,-3,7.453928676,26,0.308999985,46.13689352,1
130,1994,2,4,1,10.63395347,9,7.049528161,0,0.528800011,43.7777475,0
130,1995,3,2,1,10.64362761,9,7.059002828,2,0.539499998,45.91127073,0
130,1996,4,3,1,10.65108411,9,7.068303662,2,0.541100025,44.21570268,0
130,1997,4,4,1,10.66948443,8,7.077420672,36,0.533500016,45.01718632,0
130,1998,2,4,1,10.68344401,9,7.086304615,6,0.520399988,43.39510795,0
130,1999,5,2,1,10.66235739,9,7.094894211,23,0.493999988,49.2012508,0
130,2000,2,5,1,10.66707333,6,7.103157715,21,0.483200014,59.4646993,0
130,2001,4,2,1,10.68417193,6,7.111083213,12,0.475800008,50.74505716,0
130,2002,3,4,1,10.70160921,6,7.118709873,6,0.472799987,49.37654964,0
130,2003,5,3,1,10.71327639,6,7.126120948,16,0.473199993,47.24163069,0
130,2004,3,5,1,10.74754788,6,7.13342355,61,0.469599992,50.66524037,0
130,2005,4,3,1,10.7699404,6,7.140691747,79,0.468199998,56.0998297,0
130,2006,4,4,1,10.78865557,7,7.147966293,34,0.46540001,59.70978319,0
130,2007,4,4,1,10.79806424,5,7.15523146,52,0.44569999,62.58713843,0
130,2008,4,4,1,10.82483085,5,7.162437116,8,0.433699995,68.05694738,0
130,2009,4,4,1,10.82728415,5,7.169510558,12,0.421499997,52.10484902,0
130,2010,3,4,1,10.84233065,5,7.17641301,38,0.415499985,60.30323871,0
135,1994,7,6,1,10.84689814,1,7.377514021,0,0.2245,28.92299577,0
135,1995,5,7,1,10.8779485,1,7.385591261,1,0.277200013,30.92721785,0
135,1996,7,5,1,10.88993727,1,7.393642299,0,0.272899985,31.65420409,0
135,1997,4,7,1,10.91719236,1,7.40158928,23,0.275700003,33.46954585,0
135,1998,4,4,1,10.9154886,1,7.40922385,18,0.282999992,32.95302179,0
135,1999,6,4,1,10.92193287,1,7.41627916,3,0.305900007,33.20577656,0
135,2000,4,6,1,10.93347951,5,7.422588921,90,0.354600012,35.53803216,0
135,2001,5,4,1,10.93615472,9,7.428123207,5,0.449000001,35.06440143,0
135,2002,5,5,1,10.95921584,9,7.432984803,1,0.506299973,35.24918133,0
135,2003,5,5,1,10.97693776,9,7.437310117,45,0.568300009,37.62461033,0
