police,repress_index_lagged,hasNHRI,cameo_protests,pop_WDI_log10,polity2_P4,gdp_WDI_log10,lji_LS,ifs,cowcode,year,geocode
1,6,1,0,7.55338511,9,11.24261596,0.539799988,COL,100,1994,Colombia
1,8,1,31,7.569097407,7,11.27348047,0.529299974,COL,100,1996,Colombia
1,8,1,8,7.576615434,7,11.28812845,0.522400022,COL,100,1997,Colombia
1,8,1,5,7.58392738,7,11.29059549,0.515299976,COL,100,1998,Colombia
1,8,1,2,7.591058716,7,11.27194378,0.506600022,COL,100,1999,Colombia
1,7,1,17,7.598023722,7,11.28446457,0.492799997,COL,100,2000,Colombia
1,8,1,20,7.604830263,7,11.29169068,0.477600008,COL,100,2001,Colombia
1,7,1,0,7.611461591,7,11.30243051,0.46540001,COL,100,2002,Colombia
1,6,1,4,7.617879254,7,11.31912272,0.452800006,COL,100,2003,Colombia
1,8,1,18,7.624033982,7,11.34168771,0.442900002,COL,100,2004,Colombia
1,8,1,5,7.629895849,7,11.36166174,0.426499993,COL,100,2005,Colombia
1,8,1,21,7.635492764,7,11.39014878,0.412499994,COL,100,2006,Colombia
1,8,1,27,7.640854114,7,11.41891749,0.411300004,COL,100,2007,Colombia
1,8,1,23,7.6459621,7,11.43283786,0.420899987,COL,100,2008,Colombia
1,8,1,6,7.650793564,7,11.43804052,0.442099988,COL,100,2009,Colombia
1,7,1,5,7.655356488,7,11.45652393,0.469799995,COL,100,2010,Colombia
1,7,0,0,7.331924052,8,11.42777976,0.479799986,VEN,101,1994,Venezuela
1,7,0,6,7.341060098,8,11.44460995,0.472499996,VEN,101,1995,Venezuela
1,7,0,20,7.349969709,8,11.443751,0.466199994,VEN,101,1996,Venezuela
1,6,0,5,7.358653181,8,11.47057365,0.456999987,VEN,101,1997,Venezuela
1,6,0,4,7.36714271,8,11.47184889,0.446399987,VEN,101,1998,Venezuela
1,5,1,5,7.375477806,7,11.44511359,0.432900012,VEN,101,1999,Venezuela
1,4,1,2,7.38367978,7,11.46083773,0.418900013,VEN,101,2000,Venezuela
1,4,1,18,7.391754761,6,11.47533408,0.404700011,VEN,101,2001,Venezuela
1,4,1,69,7.399680781,6,11.43506359,0.388999999,VEN,101,2002,Venezuela
1,4,1,91,7.407418508,6,11.40000407,0.373600006,VEN,101,2003,Venezuela
1,4,1,104,7.414916452,6,11.47294066,0.363000005,VEN,101,2004,Venezuela
1,6,1,30,7.42213737,6,11.51558643,0.354999989,VEN,101,2005,Venezuela
1,6,1,26,7.428947428,5,11.55647377,0.347799987,VEN,101,2006,Venezuela
1,6,1,91,7.435328415,5,11.59291698,0.335399985,VEN,101,2007,Venezuela
1,6,1,14,7.441472544,5,11.61525441,0.324400008,VEN,101,2008,Venezuela
1,5,1,45,7.447638731,-3,11.60111981,0.312400013,VEN,101,2009,Venezuela
1,5,1,26,7.453928676,-3,11.59460467,0.308999985,VEN,101,2010,Venezuela
1,4,0,0,7.049528161,9,10.63395347,0.528800011,ECU,130,1994,Ecuador
1,2,0,2,7.059002828,9,10.64362761,0.539499998,ECU,130,1995,Ecuador
1,3,0,2,7.068303662,9,10.65108411,0.541100025,ECU,130,1996,Ecuador
1,4,1,36,7.077420672,8,10.66948443,0.533500016,ECU,130,1997,Ecuador
1,4,1,6,7.086304615,9,10.68344401,0.520399988,ECU,130,1998,Ecuador
1,2,1,23,7.094894211,9,10.66235739,0.493999988,ECU,130,1999,Ecuador
